status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
@,normalized-6_6_7.opb,0,-,0.0782684,0,0.0782684,182,798
@,normalized-4_5_0.opb,0,-,0.0344782,0,0.0344782,20,69
@,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0517266,0,0.0517266,87,182
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
@,normalized-7_7_7.opb,0,-,0.079911,0,0.079911,210,929
@,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7023,0,40.7023,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
@,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.051843,0,0.051843,173,415
@,normalized-vertexcover-grid10x25.opb,0,-,0.0573753,0,0.0573753,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
@,normalized-8_7_19.opb,0,-,198.932,0,198.932,756,3542
@,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0556753,0,0.0556753,227,569
@,normalized-sumineqArity3pyramidP0064.opb,0,-,0.153781,0,0.153781,6435,2146
@,normalized-8_7_20.opb,1,-,0.0940854,0,0.0940854,812,3813
@,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.052881,0,0.052881,143,308
@,normalized-vertexcover-grid8x25-hard.opb,0,-,0.099306,0,0.099306,200,401
@,normalized-sumineqArity5houseP064.opb,0,-,0.522572,0,0.522572,20795,4160
@,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0992232,0,0.0992232,152,305
@,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0485994,0,0.0485994,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
@,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.0550877,0,0.0550877,207,460
@,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.052739,0,0.052739,261,130
@,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0631206,0,0.0631206,138,277
@,normalized-7_7_12.opb,0,-,0.823598,0,0.823598,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
@,normalized-ECgrid5x70split.opb,0,-,154.643,0,154.643,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
@,air02.0.u.opb,0,-,0.513281,0,0.513281,6774,51
@,normalized-vertexcover-grid4x11.opb,0,-,0.0523971,0,0.0523971,44,89
@,normalized-5_7_7.opb,0,-,0.072235,0,0.072235,156,677
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
@,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0574724,0,0.0574724,78,157
@,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,32412,0.0516746,0,0.0516746,137,288
@,normalized-ECgrid5x60split.opb,0,-,206.493,0,206.493,601,301
@,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,11562,0.0603654,0,0.0603654,263,677
@,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0657437,0,0.0657437,88,177
@,normalized-2_3_4.opb,0,-,0.0541695,0,0.0541695,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
